miRNA,disease,label,used
mir-29b-1-5p,"carcinoma, ovarian epithelial",0,True
mir-30b-3p,"hemorrhagic fever, ebola",1,True
mir-455-3p,"arthritis, rheumatoid",1,True
mir-26a-5p,osteosarcoma,1,True
mir-1245,lung neoplasms,1,True
mir-135b-3p,lung neoplasms,1,True
mir-876-3p,"arthritis, rheumatoid",1,True
mir-4659b-3p,"thyroid cancer, papillary",1,True
mir-585-5p,"leukemia, promyelocytic, acute",0,True
mir-23b,essential hypertension,0,True
mir-125b,"carcinoma, non-small-cell lung",1,True
mir-214-3p,"carcinoma, mucoepidermoid",1,True
mir-106b-5p,"leukemia, lymphocytic, chronic, b-cell",0,True
mir-9-5p,irradiated hepatic stellate cell,1,True
mir-411,"carcinoma, renal cell",1,True
mir-421,stomach neoplasms,1,True
mir-7,colorectal neoplasms,1,True
mir-186,salivary adenoid cystic carcinoma,0,True
mir-1299,breast neoplasms,1,True
mir-152-3p,triple negative breast neoplasms,1,True
mir-558,ischemic stroke,0,True
mir-6079,squamous cell carcinoma of head and neck,1,True
hsa-mir-571,leukemia,1,True
mir-328-5p,colorectal neoplasms,1,True
mir-3619-5p,"carcinoma, hepatocellular",1,True
mir-502-5p,stomach neoplasms,1,True
mir-217,liver neoplasms,1,True
mir-566,diabetes mellitus,0,True
mir-378,lung neoplasms,1,True
mir-4524a-5p,"thyroid cancer, papillary",1,True
mir-431,intervertebral disc degeneration,1,True
mir-23c,urinary bladder neoplasms,1,True
mir-1256,stomach neoplasms,1,True
mir-93-5p,uterine cervical neoplasms,1,True
mir-29a-3p,urinary bladder neoplasms,1,True
mir-622,"carcinoma, hepatocellular",1,True
mir-505,"carcinoma, renal cell",1,True
mir-221,urinary bladder neoplasms,1,True
mir-1224-5p,urinary bladder neoplasms,1,True
mir-1182,colorectal neoplasms,1,True
mir-3680-3p,esophageal squamous cell carcinoma,1,True
mir-134,adenocarcinoma of lung,1,True
